barcode,brand,name,name_ar,name_fr,category,category_fr,unit,indicative_price,vat_rate,is_algerian_origin,image_url
4607034478445,Rocs,Rocs Aktif Kalsiyum Ekstra Beyazlatıcı Diş Macunu,Rocs Aktif Kalsiyum Ekstra Beyazlatıcı Diş Macunu,Rocs Aktif Kalsiyum Ekstra Beyazlatıcı Diş Macunu,نظافة وعناية شخصية,Hygiène & Soins Personnels,94 g,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/460/703/447/8445/front_en.4.400.jpg
8684149130631,The Ceel,The Ceel Aktif Mor Karbon Diş Beyazlatma Seti,The Ceel Aktif Mor Karbon Diş Beyazlatma Seti,The Ceel Aktif Mor Karbon Diş Beyazlatma Seti,نظافة وعناية شخصية,Hygiène & Soins Personnels,75 g + 50 g,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/868/414/913/0631/front_en.4.400.jpg
8681291005398,Parodontax,Parodontax Aktif Diş Eti Onarımı Beyazlatıcı Diş Macunu,Parodontax Aktif Diş Eti Onarımı Beyazlatıcı Diş Macunu,Parodontax Aktif Diş Eti Onarımı Beyazlatıcı Diş Macunu,نظافة وعناية شخصية,Hygiène & Soins Personnels,75 ml,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/868/129/100/5398/front_en.4.400.jpg
8699943340186,Agarta,Agarta Doğal Bitki Özlü Florürsüz Beyazlatıcı Diş Macunu,Agarta Doğal Bitki Özlü Florürsüz Beyazlatıcı Diş Macunu,Agarta Doğal Bitki Özlü Florürsüz Beyazlatıcı Diş Macunu,نظافة وعناية شخصية,Hygiène & Soins Personnels,100 ml,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/869/994/334/0186/front_en.4.400.jpg
4607034478414,Rocs,Rocs Uno Hızlı Beyazlatıcı Diş Macunu,Rocs Uno Hızlı Beyazlatıcı Diş Macunu,Rocs Uno Hızlı Beyazlatıcı Diş Macunu,نظافة وعناية شخصية,Hygiène & Soins Personnels,74 g,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/460/703/447/8414/front_en.4.400.jpg
8699943344450,Agarta,Agarta Doğal Hindistan Cevizi Özlü Aktif Karbonlu Florürsüz Diş Macunu,Agarta Doğal Hindistan Cevizi Özlü Aktif Karbonlu Florürsüz Diş Macunu,Agarta Doğal Hindistan Cevizi Özlü Aktif Karbonlu Florürsüz Diş Macunu,نظافة وعناية شخصية,Hygiène & Soins Personnels,100 ml,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/869/994/334/4450/front_en.4.400.jpg
4603014008473,Splat,Splat Professional Sensitive White Hassas Dişler Diş Macunu,Splat Professional Sensitive White Hassas Dişler Diş Macunu,Splat Professional Sensitive White Hassas Dişler Diş Macunu,نظافة وعناية شخصية,Hygiène & Soins Personnels,100 ml,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/460/301/400/8473/front_en.4.400.jpg
8681291342431,Sensodyne,Sensodyne Hassasiyet + Çürük Karşıtı Diş Macunu,Sensodyne Hassasiyet + Çürük Karşıtı Diş Macunu,Sensodyne Hassasiyet + Çürük Karşıtı Diş Macunu,نظافة وعناية شخصية,Hygiène & Soins Personnels,75 ml,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/868/129/134/2431/front_en.4.400.jpg
4751015929850,Himalaya,Himalaya Neem & Pomegranate Organik Diş Macunu 75 ml,Himalaya Neem & Pomegranate Organik Diş Macunu 75 ml,Himalaya Neem & Pomegranate Organik Diş Macunu 75 ml,نظافة وعناية شخصية,Hygiène & Soins Personnels,75 ml,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/475/101/592/9850/front_en.8.400.jpg
4603014001139,Splat,Splat Professional Medical Herbs Diş Macunu 100 ml,Splat Professional Medical Herbs Diş Macunu 100 ml,Splat Professional Medical Herbs Diş Macunu 100 ml,نظافة وعناية شخصية,Hygiène & Soins Personnels,100 ml,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/460/301/400/1139/front_en.12.400.jpg
8683036297181,the fair.,the fair. Sun Light Shine SPF50+/PA++++ Parıltılı Güneş Koruyucu Vücut ve Saç Yağı,the fair. Sun Light Shine SPF50+/PA++++ Parıltılı Güneş Koruyucu Vücut ve Saç Yağı,the fair. Sun Light Shine SPF50+/PA++++ Parıltılı Güneş Koruyucu Vücut ve Saç Yağı,مواد غذائية عامة,Épicerie Générale,30 ml,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/868/303/629/7181/front_en.4.400.jpg
4006000174686,Nivea,Nivea Derma Skin Clear UV Fluid 50+SPF Akne Karşıtı Yüz Güneş Kremi 40 ml,Nivea Derma Skin Clear UV Fluid 50+SPF Akne Karşıtı Yüz Güneş Kremi 40 ml,Nivea Derma Skin Clear UV Fluid 50+SPF Akne Karşıtı Yüz Güneş Kremi 40 ml,مواد غذائية عامة,Épicerie Générale,40 ml,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/400/600/017/4686/front_en.8.400.jpg
4005900704795,Nivea,Nivea Sun SPF50 Güneş Koruyucu ve Ferahlık Vücut Spreyi,Nivea Sun SPF50 Güneş Koruyucu ve Ferahlık Vücut Spreyi,Nivea Sun SPF50 Güneş Koruyucu ve Ferahlık Vücut Spreyi,مواد غذائية عامة,Épicerie Générale,200 ml,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/400/590/070/4795/front_en.4.400.jpg
2050000222511,Benri,Benri Parıltılı Bronzlaştırıcı Vücut Losyonu,Benri Parıltılı Bronzlaştırıcı Vücut Losyonu,Benri Parıltılı Bronzlaştırıcı Vücut Losyonu,مواد غذائية عامة,Épicerie Générale,150 ml,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/205/000/022/2511/front_en.4.400.jpg
8697711740046,Herbaderm,Herbaderm Dry Touch Sun Fluid SPF50+ Yoğun Nemlendirici Likit Güneş Koruyucu,Herbaderm Dry Touch Sun Fluid SPF50+ Yoğun Nemlendirici Likit Güneş Koruyucu,Herbaderm Dry Touch Sun Fluid SPF50+ Yoğun Nemlendirici Likit Güneş Koruyucu,مواد غذائية عامة,Épicerie Générale,40 ml,100.0,19.0,False,https://images.openbeautyfacts.org/images/products/869/771/174/0046/front_en.4.400.jpg
